src_port,dst_port,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,bwd_psh_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,psh_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_bwd_win_byts,fwd_act_data_pkts,active_mean,active_max,active_min,idle_mean,idle_max,idle_min,classifier
49158,443,2523390,16,22,4529.0,1736.0,581.0,0.0,283.0625,244.78329702003768,581.0,0.0,78.90909090909092,136.47777041768308,2482.7711927209034,15.059106994955199,68199.72972972973,123954.42768270582,736822.0,1530.0,2411419.0,160761.2666666667,168991.4527946254,736822.0,7594.0,2476056.0,117907.42857142855,221947.65757078206,1047013.0,3088.0,1,320,440,6.340676629454821,8.718430365500378,581.0,175.5384615384616,220.33071388660588,48545.623481781375,1,1.0,180.15789473684208,283.0625,78.9090909090909,16,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,2374815,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,1499.0641376275626,5.053025183014256,215892.27272727274,478638.1399776017,1641621.0,6030.0,2297348.0,382891.33333333343,619988.964762331,1641621.0,78134.0,2303202.0,575800.5,773775.623649173,1719081.0,6030.0,1,140,100,2.9475980234249826,2.105427159589273,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,14000,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,4275834,16,22,4529.0,1736.0,581.0,0.0,283.0625,244.78329702003768,581.0,0.0,78.90909090909092,136.47777041768308,1465.2112313059865,8.887155114066637,115563.0810810811,378918.01314879744,2335085.0,946.0,4159628.0,277308.53333333327,572119.3893450495,2335085.0,75310.0,4079351.0,194254.8095238096,561021.7469013672,2628027.0,3467.0,1,320,440,3.7419600480280577,5.145195066038579,581.0,175.5384615384616,220.33071388660588,48545.623481781375,1,1.0,180.15789473684208,283.0625,78.9090909090909,16,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,3969252,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,896.8944274639151,3.0232396431367925,360841.09090909094,959498.137126535,3245361.0,3294.0,3892364.0,648727.3333333335,1273660.1785972062,3245361.0,75186.0,3897360.0,974340.0,1571308.4090356037,3322960.0,5455.0,1,140,100,1.7635564584964625,1.2596831846403302,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,14000,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,4039053,15,22,4529.0,1736.0,581.0,0.0,301.93333333333334,241.02710774240032,581.0,0.0,78.90909090909092,136.47777041768308,1551.106162756468,9.160563132001489,112195.91666666672,370074.3626651561,2249088.0,1338.0,3923871.0,280276.5,569308.0244355693,2249088.0,75107.0,4004064.0,190669.71428571426,550883.8311966637,2580415.0,3274.0,1,300,440,3.7137418102708732,5.446821321730614,581.0,180.1578947368421,221.36609353833092,49002.94736842105,1,1.0,185.027027027027,301.93333333333334,78.9090909090909,15,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,3829268,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,929.6815997208867,3.1337582013063594,348115.2727272728,931229.6673696656,3149032.0,3813.0,3747192.0,624531.9999999999,1237802.3008505034,3149032.0,77422.0,3754472.0,938618.0,1530164.1813472174,3226696.0,5161.0,1,140,100,1.8280256174287095,1.3057325838776497,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,13318,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,2640989,16,22,4529.0,1736.0,581.0,0.0,283.0625,244.78329702003768,581.0,0.0,78.90909090909092,136.47777041768308,2372.2173776566283,14.388549138220569,71378.08108108108,144656.1661908023,891309.0,1166.0,2524836.0,168322.40000000002,205051.88590479802,891309.0,14086.0,2549097.0,121385.57142857142,227183.3656739796,1082772.0,2774.0,1,320,440,6.058336479250766,8.330212658969803,581.0,175.5384615384616,220.33071388660588,48545.623481781375,1,1.0,180.15789473684208,283.0625,78.9090909090909,16,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,2484973,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,1432.6111390345084,4.829026311352276,225906.6363636364,497343.4718844258,1702186.0,3362.0,2410139.0,401689.83333333343,642476.3846814658,1702186.0,74359.0,2413640.0,603410.0,796768.3064534297,1777139.0,3594.0,1,140,100,2.8169320149554937,2.0120942963967816,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,12977,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,2641594,15,22,4529.0,1736.0,581.0,0.0,301.93333333333334,241.02710774240032,581.0,0.0,78.90909090909092,136.47777041768308,2371.67407254862,14.006694442825053,73377.61111111114,152117.19053156313,911954.0,1291.0,2519391.0,179956.5,215211.11103920906,911954.0,76641.0,2463211.0,117295.76190476194,227425.20558458442,1077091.0,2863.0,1,300,440,5.67838963898313,8.328304803841922,581.0,180.1578947368421,221.36609353833092,49002.94736842105,1,1.0,185.027027027027,301.93333333333334,78.9090909090909,15,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,2341661,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,1520.2883764985622,5.124567561231109,212878.27272727274,482066.96000039065,1652447.0,3522.0,2259936.0,376656.0,627236.6343156304,1652447.0,75761.0,2264130.0,566032.5,784626.458133423,1728170.0,3522.0,1,140,100,2.9893310773848127,2.1352364838462954,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,12977,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
