src_port,dst_port,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,bwd_psh_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,psh_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_bwd_win_byts,fwd_act_data_pkts,active_mean,active_max,active_min,idle_mean,idle_max,idle_min,classifier
443,49157,5951267,8,7,1364.0,3086.0,341.0,0.0,170.5,182.2721669842734,549.0,0.0,440.8571428571428,209.2848366632013,747.7399350424038,2.5204716911541696,425090.50000000006,916878.2726333915,3250382.0,1724.0,5874379.0,839197.0,1213739.168589913,3250382.0,76618.0,5858056.0,976342.6666666665,1288277.689739548,3326849.0,5612.0,1,160,140,1.3442515686155572,1.1762201225386124,549.0,299.43749999999994,226.5812492242021,51339.0625,1,0.0,319.4,170.5,440.8571428571428,8,1364,7,3086,14000,4,0.0,0.0,0.0,0.0,0.0,0.0,lock
49158,443,4583798,15,22,4529.0,1736.0,581.0,0.0,301.93333333333334,241.02710774240032,581.0,0.0,78.90909090909092,136.47777041768308,1366.770525228206,8.071908927923962,127327.72222222226,397762.7765165429,2410936.0,1276.0,4471229.0,319373.5000000001,613228.2623510723,2410936.0,71223.0,4488231.0,213725.28571428574,587417.093556371,2754378.0,2903.0,1,300,440,3.272395511320525,4.799513416603436,581.0,180.1578947368421,221.36609353833092,49002.94736842105,1,1.0,185.027027027027,301.93333333333334,78.9090909090909,15,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,lock
443,49157,4346802,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,818.9929055889824,2.760650243558368,395163.8181818181,1089137.2526453051,3673328.0,3787.0,4271055.0,711842.5,1451702.2505133413,3673328.0,76013.0,4274416.0,1068604.0,1791582.511291623,3749792.0,3787.0,1,140,100,1.6103793087423808,1.1502709348159863,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,12977,3,0.0,0.0,0.0,0.0,0.0,0.0,lock
49158,443,3999100,16,22,4529.0,1736.0,581.0,0.0,283.0625,244.78329702003768,581.0,0.0,78.90909090909092,136.47777041768308,1566.6024855592511,9.502137981045736,108083.78378378377,340046.5189038386,2095721.0,1248.0,3884644.0,258976.26666666663,511451.4921384413,2095721.0,69053.0,3789704.0,180462.09523809524,503721.7106690861,2362705.0,3153.0,1,320,440,4.000900202545573,5.501237778500164,581.0,175.5384615384616,220.33071388660588,48545.623481781375,1,1.0,180.15789473684208,283.0625,78.9090909090909,16,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,lock
443,49157,3665027,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,971.3434580427376,3.2741914316047334,333184.2727272727,876699.154047053,2968299.0,3626.0,3588560.0,598093.3333333333,1162591.737243073,2968299.0,74977.0,3593676.0,898419.0000000001,1436364.2440595168,3044698.0,5226.0,1,140,100,1.909945001769428,1.3642464298353054,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,12636,3,0.0,0.0,0.0,0.0,0.0,0.0,lock
49158,443,3942492,16,23,4529.0,1901.0,581.0,0.0,283.0625,244.78329702003768,581.0,0.0,82.65217391304347,134.54286532066888,1630.9481414293293,9.892220453459387,103749.7894736842,317975.93091473076,1968167.0,1344.0,3826679.0,255111.9333333333,482529.43445784686,1968167.0,27979.0,3910248.0,177738.54545454547,434694.6035312747,2083974.0,3095.0,1,320,460,4.058346852701288,5.833873600758098,581.0,175.27499999999995,217.49400080143675,47303.640384615384,1,1.0,179.76923076923077,283.0625,82.65217391304348,16,4529,23,1901,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,lock
443,49157,3813830,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,933.4448572694639,3.146443339110553,346711.8181818182,893899.0741030909,3031945.0,4778.0,3731443.0,621907.1666666665,1182512.5793998835,3031945.0,77641.0,3731749.0,932937.25,1457691.1561748085,3109392.0,9777.0,1,140,100,1.8354252811478229,1.3110180579627304,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,13318,3,0.0,0.0,0.0,0.0,0.0,0.0,lock
49158,443,3220903,17,22,4529.0,1736.0,581.0,0.0,266.41176470588243,246.75318103915333,581.0,0.0,78.90909090909092,136.47777041768308,1945.1066983389442,12.108405624137086,84760.6052631579,244564.33537802286,1525848.0,1342.0,3108726.0,194295.37499999997,358333.9971093774,1525848.0,1539.0,3190263.0,151917.28571428574,377101.6214283815,1775846.0,3227.0,1,340,440,5.278022964367446,6.830382659769636,581.0,171.15000000000003,219.25147135722415,48071.20769230768,1,1.0,175.53846153846158,266.41176470588243,78.9090909090909,17,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,lock
443,49157,3079078,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,1156.1902621499032,3.897270546572708,279916.18181818177,697597.6189368508,2372354.0,4840.0,3002155.0,500359.16666666674,919067.0812512907,2372354.0,76551.0,3008222.0,752055.5,1138739.8668137512,2449268.0,5406.0,1,140,100,2.2734078188340794,1.6238627277386282,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,12636,3,0.0,0.0,0.0,0.0,0.0,0.0,lock
49158,443,3915084,15,22,4529.0,1736.0,581.0,0.0,301.93333333333334,241.02710774240032,581.0,0.0,78.90909090909092,136.47777041768308,1600.2210935959486,9.450627368403843,108752.33333333334,358511.3978854389,2182145.0,1339.0,3801188.0,271513.4285714285,551137.8617173906,2182145.0,76858.0,3832484.0,182499.23809523808,505519.9697299707,2370141.0,2844.0,1,300,440,3.8313354196231812,5.619291948780665,581.0,180.1578947368421,221.36609353833092,49002.94736842105,1,1.0,185.027027027027,301.93333333333334,78.9090909090909,15,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,lock
