Flow Direction,Dst Port,Flow Duration,Flow Byts/s,Flow Pkts/s,Pkt Size Avg
0,443,4255413,1472.24252969101,9.16479787038297,160.641025641026
1,49157,2902573,1226.498007113,4.13426294532472,325.083333333333
0,443,4504707,1423.84399251716,8.65761080576384,179.358974358974
1,49157,5452706,652.886841872641,2.20074216361564,325.083333333333
0,443,4346804,1441.28881817538,8.51200100119536,185.027027027027
1,49157,4120665,863.93822356343,2.91215131538235,325.083333333333
0,443,5918577,1228.6737166721,7.26525987581136,182.627906976744
1,49157,3923030,907.46183434743,3.05886011577786,325.083333333333
0,443,4275834,1465.21123130599,8.88715511406664,180.157894736842
1,49157,3969252,896.894427463915,3.02323964313679,325.083333333333
0,443,10903507,627.871381198728,3.48511721962484,195.447368421053
1,49157,4312722,825.464752886924,2.78246545916941,325.083333333333
0,443,4448653,1408.29145361529,8.54191145049974,180.157894736842
1,49157,3941007,903.322424953825,3.29864930460667,300.076923076923
0,443,4663220,1378.87554093523,8.14887566960169,184.5
1,49157,4038104,881.601860675208,2.97169166519733,325.083333333333
0,443,4335837,1482.98932824274,9.22543905594237,175.275
1,49157,4065969,875.560044850317,2.95132599387747,325.083333333333
0,443,4546817,1377.88699215297,8.57742900143111,175.538461538462
1,49157,4218408,843.920265654721,2.84467505276872,325.083333333333
0,443,4097279,1529.0635565701,9.51851216380432,175.538461538462
1,49157,3942201,903.048829828819,3.0439848196477,325.083333333333
0,443,4316857,1451.28736022528,8.80270066856512,180.157894736842
1,49157,4014558,886.772591154493,2.98912109377919,325.083333333333
0,443,4460714,1404.48367682842,8.51881559768234,180.157894736842
1,49157,4314447,825.134715990253,2.78135297524804,325.083333333333
0,443,5606918,1143.94396351079,6.95569294931725,179.358974358974
1,49157,4195103,848.608484702283,2.8604780383223,325.083333333333
0,443,4814276,1301.3379374178,7.89319100109757,180.157894736842
1,49157,4533929,785.190945866157,2.64671105348143,325.083333333333
0,443,6846922,1083.84468232587,6.28019422449971,186.093023255814
1,443,5712909,623.150132445659,2.45059040849417,254.285714285714
0,443,5257624,1219.94269654886,7.22759938709957,184.078947368421
1,49157,4885424,728.698266516888,2.45628629162996,325.083333333333
0,443,4850570,1291.60078093915,7.83413083410816,180.157894736842
1,49157,4532080,785.511288415032,2.64779085982595,325.083333333333
0,443,6725527,995.75839930462,5.2040531544963,207.942857142857
1,49157,4617856,770.920531086288,2.59860853175153,325.083333333333
0,443,4766742,1314.31489264575,7.76211508825105,185.027027027027
1,49157,4527991,786.220643989796,2.65018194603302,325.083333333333
0,443,4756516,1317.14052890813,8.19927863167074,175.538461538462
1,49157,4488664,793.109040908386,2.67340126148894,325.083333333333
0,443,6532081,819.646908848803,4.59271708357566,197.833333333333
1,49157,6502343,410.621217613405,1.38411646386541,334.555555555556
